,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
32,20200824,NE,31889,307711,,146.0,1910.0,,,,,24155.0,A,8/23/2020 20:20,2020-08-23T20:20:00Z,08/23 16:20,378,1910.0,2020-08-23T20:20:00Z,,,,31889.0,,,,340076.0,,,,,,,,,,,31,109,1130,339600,339600,1239,339600,2,3,1d7f9a95ad122081507d195f4e895e3f750943fb,0,0,0,0,0,
33,20200824,NH,7134,191095,,11.0,712.0,,220.0,,,6450.0,B,8/24/2020 09:00,2020-08-24T09:00:00Z,08/24 05:00,429,712.0,2020-08-24T09:00:00Z,304499.0,,,7134.0,,,,198229.0,29844.0,,,29258.0,,,,,,,33,27,2138,198229,198229,2165,198229,0,1,367e3626075c757608134d4583a0ca69de7f4dd2,0,0,0,0,0,
34,20200824,NJ,189719,2487093,,446.0,22452.0,66.0,,27.0,,33626.0,A+,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,15949,22452.0,2020-08-24T00:00:00Z,2676812.0,,,189719.0,14120.0,1829.0,,,,,,,,,,,,,34,225,27589,2676812,2676812,27814,2676812,3,4,4e766a3f32740a2f42526beeec629af4c718df36,0,0,0,0,0,
35,20200824,NM,24396,694904,,64.0,3031.0,,,,,11539.0,B,8/23/2020 17:50,2020-08-23T17:50:00Z,08/23 13:50,745,3031.0,2020-08-23T17:50:00Z,,,,24396.0,,,,719300.0,,,,,,,,,,,35,94,14044,719300,719300,14138,719300,2,1,9b0f0bb4184e59807099ce6190e0027a1f44b4b5,0,0,0,0,0,
36,20200824,NV,66010,510667,,771.0,,229.0,,126.0,,1611.0,A+,8/24/2020 02:59,2020-08-24T02:59:00Z,08/23 22:59,1200,,2020-08-24T02:59:00Z,814793.0,,,66010.0,,,,576621.0,,,,,,,,,,,32,409,2039,576677,576677,2448,576677,3,0,455f704fd999081b75257595aca09c67814b18e3,0,0,0,0,0,
37,20200824,NY,430145,7253045,,482.0,89995.0,120.0,,54.0,,74684.0,A,8/23/2020 23:59,2020-08-23T23:59:00Z,08/23 19:59,25295,89995.0,2020-08-23T23:59:00Z,,,,430145.0,,,,7683190.0,,,,,,,,,,,36,408,61623,7683190,7683190,62031,7683190,7,0,3d28b2febca194a9b3f4526aa66be54e9828070f,0,0,0,0,0,
38,20200824,OH,115651,1888549,,802.0,12859.0,276.0,2888.0,146.0,,95554.0,A+,8/24/2020 14:00,2020-08-24T14:00:00Z,08/24 10:00,3986,12859.0,2020-08-24T14:00:00Z,1998115.0,,,109566.0,3705.0,281.0,,,,,,,,,,,,,39,849,19462,2004200,2004200,20311,2004200,8,59,07d094d7910583717568434fd7df384b9302a327,0,0,0,0,0,
39,20200824,OK,53522,759335,,578.0,4431.0,237.0,,,,44660.0,A+,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,730,4431.0,2020-08-24T00:00:00Z,821289.0,60433.0,759335.0,53522.0,,,,,67322.0,2856.0,64466.0,,,,,,,,40,357,0,812857,812857,357,812857,4,9,0783750211bc3750b45bc21c2906c61bcb49f2a6,0,0,0,0,0,
40,20200824,OR,25155,498182,,143.0,2028.0,44.0,,25.0,,4634.0,A+,8/24/2020 03:01,2020-08-24T03:01:00Z,08/23 23:01,420,2028.0,2020-08-24T03:01:00Z,,,498182.0,23859.0,,,,522041.0,,,,,,,,,,,41,218,3299,523337,523337,3517,523337,3,44,bbb45229492947489fea6f8c535cd49727b23f25,0,0,0,0,0,
41,20200824,PA,129474,1433364,,518.0,,,,71.0,,104873.0,A+,8/24/2020 12:00,2020-08-24T12:00:00Z,08/24 08:00,7579,,2020-08-24T12:00:00Z,1559186.0,,,125822.0,,,,,,,,,,,,,,,42,426,9392,1562838,1562838,9818,1562838,1,0,622abbe349087302ea9e053453647295dc553a56,0,0,0,0,0,
42,20200824,PR,30618,305972,,363.0,,71.0,,42.0,,,B,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,390,,2020-08-24T00:00:00Z,310546.0,7002.0,303412.0,13922.0,251.0,139.0,,,,16696.0,,,,,,,,,72,722,0,336590,336590,722,336590,0,0,867c2f53f53839258673b585d47a3364f8644da5,0,0,0,0,0,
43,20200824,RI,21302,233372,,80.0,2460.0,11.0,,4.0,,2052.0,A+,8/24/2020 12:00,2020-08-24T12:00:00Z,08/24 08:00,1035,2460.0,2020-08-24T12:00:00Z,,30345.0,443325.0,21302.0,,,473670.0,254674.0,,,,,,,,,,,44,39,2064,254674,473670,3508,254674,0,0,bf61090433760f7c243442243e1171a595433271,0,0,0,0,0,
44,20200824,SC,112551,783926,,979.0,7439.0,248.0,,148.0,,46118.0,A+,8/23/2020 23:59,2020-08-23T23:59:00Z,08/23 19:59,2511,7439.0,2020-08-23T23:59:00Z,895128.0,144128.0,751000.0,111202.0,2387.0,124.0,,,61338.0,4861.0,56477.0,,,,,,,,45,563,3578,896477,896477,4141,896477,7,0,974adc2a94950e83236d5ec8f859e4108a643837,0,0,0,0,0,
45,20200824,SD,11425,126038,,65.0,965.0,,,,,9694.0,A,8/23/2020 14:00,2020-08-23T14:00:00Z,08/23 10:00,161,965.0,2020-08-23T14:00:00Z,178534.0,,,,,,,137463.0,,,,,,,,,,,46,149,554,137463,137463,703,137463,0,6,1ad5946463008b7d93a5bdc574184702a44cad91,0,0,0,0,0,
46,20200824,TN,144604,1914750,,1018.0,6421.0,342.0,,173.0,,106041.0,A+,8/24/2020 15:00,2020-08-24T15:00:00Z,08/24 11:00,1588,6421.0,2020-08-24T15:00:00Z,2056341.0,171540.0,1884801.0,141591.0,1547.0,41.0,,,,,,,,,,,,,47,667,13494,2059354,2059354,14161,2059354,21,43,88bee0121b00190bb62113dcd01057d743e6f751,0,0,0,0,0,
47,20200824,TX,580384,4090491,,5019.0,,1809.0,,,,457182.0,A,8/24/2020 18:35,2020-08-24T18:35:00Z,08/24 14:35,11395,,2020-08-24T18:35:00Z,4668028.0,,,580384.0,,,,,344218.0,27726.0,316492.0,,,,,,21648.0,3151.0,48,2847,0,4670875,4670875,2847,4670875,25,0,b46ed6b30ff3757152bd84da25d8aee8633cc1d5,0,0,0,0,0,
48,20200824,UT,49364,576990,,144.0,2941.0,57.0,744.0,,298.0,41164.0,A+,8/24/2020 10:24,2020-08-24T10:24:00Z,08/24 06:24,390,2941.0,2020-08-24T10:24:00Z,769530.0,,,49364.0,,,,626354.0,,,,,,,,,,,49,249,1269,626354,626354,1518,626354,5,15,3d1b032ca6aceca745efc1fb10f0b7b85e80c4e5,0,0,0,0,0,
49,20200824,VA,113630,1370350,307.0,1127.0,15609.0,256.0,,134.0,,14482.0,A+,8/23/2020 17:00,2020-08-23T17:00:00Z,08/23 13:00,2471,15609.0,2020-08-23T17:00:00Z,,,,108767.0,2352.0,119.0,1479117.0,,120479.0,,,,,,,,,,51,664,12429,1484287,1483980,13093,1483980,4,11,f77f0f1425d8bf15c9bf8c417ddd1c92c4f8e477,0,0,0,0,0,
50,20200824,VI,984,13458,95.0,,,,,,,712.0,C,8/23/2020 18:50,2020-08-23T18:50:00Z,08/23 14:50,11,,2020-08-23T18:50:00Z,14537.0,,,,11.0,,,,,,,,,,,,,,78,24,100,14537,14442,124,14442,1,0,582b2b8a653e3fb453285a632373720662804f4b,0,0,0,0,0,
51,20200824,VT,1566,119824,,11.0,,,,,,1380.0,B,8/23/2020 23:59,2020-08-23T23:59:00Z,08/23 19:59,58,,2020-08-23T23:59:00Z,,,,1566.0,58.0,,,121390.0,,,,,,,,,,,50,9,1338,121390,121390,1347,121390,0,0,cf2eaf977c4625d4dbe946a1928ad87df86ca32a,0,0,0,0,0,
52,20200824,WA,71012,950107,,373.0,6530.0,,,36.0,,,B,8/23/2020 02:59,2020-08-23T02:59:00Z,08/22 22:59,1863,6530.0,2020-08-23T02:59:00Z,,,,71012.0,1863.0,,,1009486.0,,,,,,,,,,,53,417,0,1021119,1021119,417,1021119,6,30,e04707955c12bc188d7f853be6c21533a3a002d1,0,0,0,0,0,
53,20200824,WI,75619,1119622,180.0,321.0,5573.0,106.0,991.0,,,62310.0,A+,8/24/2020 00:00,2020-08-24T00:00:00Z,08/23 20:00,1089,5573.0,2020-08-24T00:00:00Z,,,,70854.0,1081.0,8.0,,1190476.0,,,,,,,,,,,55,414,4473,1195421,1195241,4887,1195241,0,15,94522470fd5b7425bc8dbfd08c80b9c87f344ba6,0,0,0,0,0,
54,20200824,WV,9312,389342,,141.0,,47.0,,23.0,,7385.0,C,8/23/2020 23:59,2020-08-23T23:59:00Z,08/23 19:59,179,,2020-08-23T23:59:00Z,398479.0,,,9137.0,178.0,1.0,,,15521.0,,,,,,,,,,54,40,2421,398654,398654,2461,398654,1,0,cca0d37d90bd4fbe89e04984f42852cacddde64c,0,0,0,0,0,
55,20200824,WY,3603,62419,,20.0,211.0,,,,,2927.0,B,8/24/2020 16:39,2020-08-24T16:39:00Z,08/24 12:39,37,211.0,2020-08-24T16:39:00Z,95016.0,3040.0,91975.0,3068.0,,,,65487.0,,,,,,,,,,,56,24,1106,66022,66022,1130,66022,0,4,03b44f2f50cd13f5773339a88987ea2106a52d73,0,0,0,0,0,
